,n_processo,data_criacao,unidade_origem,assunto,data_instauracao_jad,situacao_jad,data_instauracao_pad,cppad,fase,resultado_do_pad,data_conclusao_pad,proposta_coopad,Atualizado_em,ano_criacao_processo,Ano,ano_conclusao_pad
126,SEI-150071/000297/2022,2023-12-12,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2023-12-21,4ª CPPAD,FINALIZADO,,,SUSPENSÃO,2025-07-31 08:30:14,2023,2023,
127,SEI-150016/024611/2024,2024-02-28, DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,2024-03-06,NEGATIVO,,,,,,,2025-07-31 08:30:14,2024,,
128,SEI-030034/002046/2022,2022-04-18,SEEDUC,ABANDONO DE CARGO,,POSITIVO,2023-09-21,1ª CPPAD,FINALIZADO,DEMISSÃO,2024-06-25,DEMISSÃO,2025-07-31 08:30:14,2022,2023,2024
129,SEI-020006/000910/2021,2021-11-22,FIPERJ,ABANDONO DE CARGO,,POSITIVO,2023-08-31,1ª CPPAD,FINALIZADO,DEMISSÃO,2024-02-29,DEMISSÃO,2025-07-31 08:30:14,2021,2023,2024
130,E-03/002/100746/2018,2018-08-02,SEEDUC,ASSÉDIO SEXUAL,,POSITIVO,2022-05-27,2ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-04-10,ARQUIVAMENTO,2025-07-31 08:30:14,2018,2022,2024
131,SEI-030034/001583/2022,2022-03-23,SEEDUC,ABANDONO DE CARGO,,POSITIVO,2023-10-02,1ª CPPAD,FINALIZADO,DEMISSÃO,2024-05-10,DEMISSÃO,2025-07-31 08:30:14,2022,2023,2024
132,E-03/005/698/2015,2015-02-24,SEEDUC,ACUMULAÇÃO ILÍCITA DE CARGOS,2024-03-07,POSITIVO,2024-03-13,2ª CPPAD,RELATÓRIO FINAL,,,,2025-07-31 08:30:14,2015,2024,
133,SEI-030038/000960/2022 ,2022-02-21,SEEDUC,ASSÉDIO SEXUAL,,POSITIVO,2023-10-24,1ª CPPAD,FINALIZADO,,,,2025-07-31 08:30:14,2022,2023,
134,E-03/007/269/2018,2018-08-17,SEEDUC,FALTAS INTERPOLADAS,,POSITIVO,2021-05-13,1ª CPPAD,FINALIZADO,DEMISSÃO,2024-02-28,DEMISSÃO,2025-07-31 08:30:14,2018,2021,2024
135,SEI-030022/010262/2021,2021-10-13,DEGASE,MÁ CONDUTA,,POSITIVO,2023-02-14,4ª CPPAD,FINALIZADO,DEMISSÃO,2024-02-29,SUSPENSÃO,2025-07-31 08:30:14,2021,2023,2024
136,SEI-320001/000165/2021,2021-01-19,CGE,PECULATO,2024-02-08,POSITIVO,2024-05-21,4ª CPPAD,FINALIZADO,DEMISSÃO,,DEMISSÃO,2025-07-31 08:30:14,2021,2024,
137,SEI-030022/010843/2021,2021-10-25,DEGASE,FRAUDES DOCUMENTAIS,,POSITIVO,2023-02-14,3ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-04-11,ARQUIVAMENTO,2025-07-31 08:30:14,2021,2023,2024
138,SEI-030035/004005/2022,2022-05-25,SEEDUC,CORRUPÇÃO,2024-03-08,POSITIVO,2024-04-05,2ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2022,2024,
139,SEI-030030/002332/2022,2022-04-01,SEEDUC,ASSÉDIO SEXUAL,2024-03-08,POSITIVO,2024-04-05,2ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2022,2024,
140,SEI-150071/000495/2021,2021-12-01,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2023-12-22,4ª CPPAD,FINALIZADO,,,SUSPENSÃO,2025-07-31 08:30:14,2021,2023,
141,SEI-030029/016982/2022,2022-12-28,SEEDUC,ASSÉDIO SEXUAL,2024-03-08,POSITIVO,2024-10-23,1ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2022,2024,
142,SEI-080003/000080/2020,2020-08-28,SES,ACUMULAÇÃO ILÍCITA DE CARGOS,2024-05-23,POSITIVO,2024-04-29,4ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-10-14,ARQUIVAMENTO,2025-07-31 08:30:14,2020,2024,2024
143,E-12/064/18483/2015,2015-12-02,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2020-11-26,4ª CPPAD,FINALIZADO,SUSPENSÃO,2024-04-30,SUSPENSÃO,2025-07-31 08:30:14,2015,2020,2024
144,SEI-030038/001827/2022,2022-04-07,SEEDUC,HOMOFOBIA,2024-03-12,POSITIVO,2024-04-05,3ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2022,2024,
145,SEI-030037/002011/2021,2021-06-21,SEEDUC,NÃO PRESTAÇÃO DE CONTAS,2022-04-28,POSITIVO,2022-10-19,1ª CPPAD,REEXAME, ,,,2025-07-31 08:30:14,2021,2022,
146,SEI-030040/001089/2022,2022-04-01,SEEDUC,IMPORTUNAÇÃO SEXUAL,2024-03-12,POSITIVO,2024-04-05,1ª CPPAD,FINALIZADO,,,,2025-07-31 08:30:14,2022,2024,
147,SEI-08/001/021712/2019,2019-08-21,SES,FALTAS INTERPOLADAS,,POSITIVO,2020-12-01,2ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-04-11,ARQUIVAMENTO,2025-07-31 08:30:14,2019,2020,2024
148,SEI-030041/005768/2023,2023-09-12,SEEDUC,FALTAS INTERPOLADAS,2024-03-14,NEGATIVO,,,,,,,2025-07-31 08:30:14,2023,,
149,SEI-320001/000074/2021,2021-01-07,CGE,VANTAGEM PECUNIÁRIA,,POSITIVO,2021-11-12,3ª CPPAD,FINALIZADO,DEMISSÃO,2024-10-03,DESTITUIÇÃO DE CARGO,2025-07-31 08:30:14,2021,2021,2024
150,SEI-080005/002017/2021,2021-11-22,SES,ABANDONO DE CARGO,,POSITIVO,2023-03-23,3ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-03-12,ARQUIVAMENTO,2025-07-31 08:30:14,2021,2023,2024
151,E-26/004/101262/2018,2018-12-14,CECIERJ,FALTAS INTERPOLADAS,,POSITIVO,2020-12-04,1ª CPPAD,FINALIZADO,SUSPENSÃO,2021-12-14,SUSPENSÃO,2025-07-31 08:30:14,2018,2020,2021
152,SEI-030034/002026/2022,2022-04-13,SEEDUC,ASSÉDIO SEXUAL,2024-03-15,NEGATIVO,,,,,,,2025-07-31 08:30:14,2022,,
153,SEI-030041/005053/2023,2023-08-14,SEEDUC,NÃO PRESTAÇÃO DE CONTAS,2024-03-19,EM ANDAMENTO,,,,,,,2025-07-31 08:30:14,2023,,
154,E-03/014/1828/2013,2013-07-10,SEEDUC,ABANDONO DE CARGO,2024-03-20,EM ANDAMENTO,,,,,,,2025-07-31 08:30:14,2013,,
155,SEI-460001/000778/2023,2023-04-24,SEIC,DESCUMPRIMENTO DE NORMAS RELACIONADAS ÁS CONTRATAÇÕES PÚBLICAS,2023-08-15,NEGATIVO,,,,,,,2025-07-31 08:30:14,2023,,
156,SEI-150071/000022/2022,2022-02-01,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2023-06-21,4ª CPPAD,FINALIZADO,,,SUSPENSÃO,2025-07-31 08:30:14,2022,2023,
157,E-03/201877/2011,2011-05-17,SEEDUC,ABANDONO DE CARGO,,NEGATIVO,,,,,,,2025-07-31 08:30:14,2011,,
158,E-26/005/2571/2016,2016-06-24,FAETEC,ABANDONO DE CARGO,2024-03-18,NEGATIVO,,,,,,,2025-07-31 08:30:14,2016,,
159,SEI-030035/003612/2023,2023-06-14,SEEDUC,ABANDONO DE CARGO,2024-03-15,NEGATIVO,,,,,,,2025-07-31 08:30:14,2023,,
160,SEI-030043/002059/2022,2022-05-06,SEEDUC,MÁ CONDUTA,2024-03-20,POSITIVO,2024-05-02,3ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2022,2024,
161,SEI-030038/003685/2023,2023-06-29,SEEDUC,ABANDONO DE CARGO,2024-05-23,POSITIVO,2024-04-16,1ª CPPAD,FINALIZADO,,,,2025-07-31 08:30:14,2023,2024,
162,SEI-220011/000061/2023,2023-01-04,JUCERJA,MÁ CONDUTA,,POSITIVO,2023-10-02,1ª CPPAD,DEFESA,,,,2025-07-31 08:30:14,2023,2023,
163,E-08/008/101436/2018,2018-09-21,SES,ACUMULAÇÃO ILÍCITA DE CARGOS,,POSITIVO,2023-06-21,2ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-10-10,ARQUIVAMENTO,2025-07-31 08:30:14,2018,2023,2024
164,SEI-030035/003697/2023,2023-06-19,SEEDUC,ABANDONO DE CARGO,2024-03-25,POSITIVO,2025-02-26,1ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2023,2025,
165,SEI-030037/002763/2021,2021-08-30,SEEDUC,ABANDONO DE CARGO,,POSITIVO,2023-07-04,4ª CPPAD,FINALIZADO,DEMISSÃO,2024-12-20,DEMISSÃO,2025-07-31 08:30:14,2021,2023,2024
166,SEI-150071/000218/2021,2021-06-18,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2023-06-21,2ª CPPAD,FINALIZADO,DEMISSÃO,2024-12-09,SUSPENSÃO,2025-07-31 08:30:14,2021,2023,2024
167,SEI-150027/000212/2022,2022-03-10,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2023-08-21,4ª CPPAD,FINALIZADO,,,SUSPENSÃO,2025-07-31 08:30:14,2022,2023,
168,SEI-150071/000161/2022,2022-06-30,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2023-08-16,4ª CPPAD,FINALIZADO,,,SUSPENSÃO,2025-07-31 08:30:14,2022,2023,
169,SEI-150071/000149/2022,2022-06-14,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2023-04-13,2ª CPPAD,FINALIZADO,,,SUSPENSÃO,2025-07-31 08:30:14,2022,2023,
170,SEI-120001/012654/2021,2021-11-12,SEPLAG,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2023-06-06,2ª CPPAD,FINALIZADO,DEMISSÃO,2024-10-09,SUSPENSÃO,2025-07-31 08:30:14,2021,2023,2024
171,SEI-150028/000771/2021,2021-05-26,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2023-04-24,2ª CPPAD,FINALIZADO,,,SUSPENSÃO,2025-07-31 08:30:14,2021,2023,
172,SEI-030022/006970/2022,2022-05-13,DEGASE,MÁ CONDUTA,2024-03-26,EM ESPERA,,,,,,,2025-07-31 08:30:14,2022,,
173,SEI-150071/000360/2022,2022-12-11,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,2024-03-25,POSITIVO,2024-04-10,4ª CPPAD,FINALIZADO,,,SUSPENSÃO,2025-07-31 08:30:14,2022,2024,
174,E-03/021/100249/2018,2018-07-27,DEGASE,OFENSA FÍSICA,,POSITIVO,2021-06-16,2ª CPPAD,FINALIZADO,DEMISSÃO,2024-10-23,DEMISSÃO,2025-07-31 08:30:14,2018,2021,2024
175,SEI-150065/004232/2022,2022-02-23,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,2024-03-26,POSITIVO,2024-04-25,4ª CPPAD,FINALIZADO,,,SUSPENSÃO,2025-07-31 08:30:14,2022,2024,
176,SEI-150071/000378/2022,2022-12-19,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,2024-03-26,POSITIVO,2024-04-25,4ª CPPAD,FINALIZADO,DEMISSÃO,2024-10-04,DEMISSÃO,2025-07-31 08:30:14,2022,2024,2024
177,SEI-210001/024653/2024,2024-03-25,SEAP,TRÁFICO DE DROGAS,2024-04-01,POSITIVO,2024-04-26,4ª CPPAD,FINALIZADO,,,DEMISSÃO,2025-07-31 08:30:14,2024,2024,
178,SEI-150113/000007/2022,2022-05-05,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2023-09-21,4ª CPPAD,FINALIZADO,,,SUSPENSÃO,2025-07-31 08:30:14,2022,2023,
179,SEI-150066/000521/2022,2022-02-17,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2023-07-12,4ª CPPAD,FINALIZADO,,,SUSPENSÃO,2025-07-31 08:30:14,2022,2023,
180,E-03/004/2062/2019,2019-05-13,SEEDUC,MÁ CONDUTA,,POSITIVO,2021-03-23,3ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-04-11,ARQUIVAMENTO,2025-07-31 08:30:14,2019,2021,2024
181,SEI-460001/001483/2023,2023-08-01,SEIC,FRAUDES DOCUMENTAIS,2024-04-02,POSITIVO,2024-04-25,4ª CPPAD,FINALIZADO,,,,2025-07-31 08:30:14,2023,2024,
182,SEI-030029/002426/2022,2022-03-03,SEEDUC,FRAUDES DOCUMENTAIS,,POSITIVO,2023-04-14,1ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-01-16,ARQUIVAMENTO,2025-07-31 08:30:14,2022,2023,2024
183,E-03/005/4330/2017,2017-11-14,SEEDUC,FALTAS INTERPOLADAS,,POSITIVO,2021-05-27,1ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-04-30,ARQUIVAMENTO,2025-07-31 08:30:14,2017,2021,2024
184,SEI-080003/000053/2020,2020-08-27,SES,ACUMULAÇÃO ILÍCITA DE CARGOS,,POSITIVO,2023-05-31,1ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-04-30,ARQUIVAMENTO,2025-07-31 08:30:14,2020,2023,2024
185,SEI-030038/004695/2023,2023-08-22,SEEDUC,ABANDONO DE CARGO,2024-04-04,POSITIVO,2025-02-06,3ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2023,2025,
186,E-03/10002369/1998,1998-04-15,SEEDUC,ACUMULAÇÃO ILÍCITA DE CARGOS,,POSITIVO,2022-09-23,3ª CPPAD,SOBRESTADO,,,,2025-07-31 08:30:14,1998,2022,
187,E-08/008/476/2017,2017-02-05,SES,ABANDONO DE CARGO,,POSITIVO,2021-02-17,3ª CPPAD,FINALIZADO,DEMISSÃO,2024-04-04,DEMISSÃO,2025-07-31 08:30:14,2017,2021,2024
188,SEI-150071/000324/2022,2022-11-17,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2023-11-24,4ª CPPAD,FINALIZADO,,,SUSPENSÃO,2025-07-31 08:30:14,2022,2023,
189,SEI-030038/004192/2022,2022-08-15,SEEDUC,ABANDONO DE CARGO,2024-04-09,POSITIVO,2025-02-06,1ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2022,2025,
190,E-08/008/3367/2016,2016-09-16,SES,FALTAS INTERPOLADAS,,POSITIVO,2021-05-27,2ª CPPAD,REEXAME,,,,2025-07-31 08:30:14,2016,2021,
191,E-03/10.802.202/2011,2011-11-04,SEEDUC,NÃO PRESTAÇÃO DE CONTAS,,POSITIVO,2016-07-25,3ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-05-02,ARQUIVAMENTO,2025-07-31 08:30:14,2011,2016,2024
192,SEI-150064/007589/2021,2021-07-14,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2023-04-24,4ª CPPAD,FINALIZADO,,,SUSPENSÃO,2025-07-31 08:30:14,2021,2023,
193,SEI-150064/008834/2021,2021-08-11,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2023-04-24,4ª CPPAD,FINALIZADO,,,SUSPENSÃO,2025-07-31 08:30:14,2021,2023,
194,SEI-150064/007587/2021,2021-07-14,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2023-04-28,4ª CPPAD,FINALIZADO,,,SUSPENSÃO,2025-07-31 08:30:14,2021,2023,
195,SEI-150071/000453/2021,2021-10-27,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2023-05-04,4ª CPPAD,FINALIZADO,DEMISSÃO,2024-09-12,SUSPENSÃO,2025-07-31 08:30:14,2021,2023,2024
196,E-03/007/5836/2017,2017-11-16,SEEDUC,FALTAS INTERPOLADAS,,POSITIVO,2021-05-31,3ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-05-02,ARQUIVAMENTO,2025-07-31 08:30:14,2017,2021,2024
197,E-03/002/703/2016,2016-02-04,SEEDUC,ABANDONO DE CARGO,,POSITIVO,2017-02-21,3ª CPPAD,RELATÓRIO FINAL,,,,2025-07-31 08:30:14,2016,2017,
198,SEI-12/001/036574/2019,2019-10-18,SECCG,ACUMULAÇÃO ILÍCITA DE CARGOS,,POSITIVO,2023-06-16,3ª CPPAD,FINALIZADO,CASSAÇÃO DE APOSENTADORIA,2024-06-11,CASSAÇÃO DE APOSENTADORIA,2025-07-31 08:30:14,2019,2023,2024
199,SEI-030022/003346/2021,2021-04-13,DEGASE,FALTA DE URBANIDADE,,POSITIVO,2023-01-18,3ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-04-11,ARQUIVAMENTO,2025-07-31 08:30:14,2021,2023,2024
200,SEI-030034/003444/2021,2021-10-29,SEEDUC,ASSÉDIO SEXUAL,,POSITIVO,2022-12-30,1ª CPPAD,FINALIZADO,REPREENSÃO,2024-06-28,REPREENSÃO,2025-07-31 08:30:14,2021,2022,2024
201,SEI-030035/007158/2022,2022-10-04,SEEDUC,DESCUMPRIMENTO DE NORMAS RELACIONADAS ÁS CONTRATAÇÕES PÚBLICAS,2023-04-24,NEGATIVO,,,,,,,2025-07-31 08:30:14,2022,,
202,SEI-150071/000041/2022,2022-02-17,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,NEGATIVO,,,SOBRESTADO,,,,2025-07-31 08:30:14,2022,,
203,E-03/002/1869/2019,2019-04-04,SEEDUC,ABANDONO DE CARGO,2024-01-18,NEGATIVO,,,,,,,2025-07-31 08:30:14,2019,,
204,SEI-150066/000284/2022,2022-01-31,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,2024-05-23,POSITIVO,2023-07-17,4ª CPPAD,FINALIZADO,,,SUSPENSÃO,2025-07-31 08:30:14,2022,2023,
205,SEI-080015/001244/2023,2023-10-27,SES,ABANDONO DE CARGO,2024-04-17,POSITIVO,2025-02-06,2ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2023,2025,
206,E-03/001/618/2017,2017-01-26,SEEDUC,ACUMULAÇÃO ILÍCITA DE CARGOS,2024-04-17,POSITIVO,,,,,,,2025-07-31 08:30:14,2017,,
207,SEI-150071/000159/2022,2022-06-30,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,2024-05-23,POSITIVO,2023-09-29,4ª CPPAD,FINALIZADO,,,SUSPENSÃO,2025-07-31 08:30:14,2022,2023,
208,SEI-030034/001847/2021,2021-06-21,SEEDUC,ABANDONO DE CARGO,2024-05-23,POSITIVO,2023-01-11,1ª CPPAD,FINALIZADO,ARQUIVAMENTO,2023-12-11,ARQUIVAMENTO,2025-07-31 08:30:14,2021,2023,2023
209,E-12/008/100/2015,2015-06-29,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,2024-05-23,POSITIVO,2017-12-08,3ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-04-11,ARQUIVAMENTO,2025-07-31 08:30:14,2015,2017,2024
210,E-03/11003185/2011,2011-08-09,SEEDUC,ACUMULAÇÃO ILÍCITA DE CARGOS,2024-05-23,POSITIVO,2022-10-19,1ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-04-25,ARQUIVAMENTO,2025-07-31 08:30:14,2011,2022,2024
211,SEI-150071/000381/2022,2022-12-19,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,2024-04-29,EM ANDAMENTO,,,,,,,2025-07-31 08:30:14,2022,,
212,SEI-030037/003237/2021,2021-10-14,SEEDUC,VIOLAÇÃO SEXUAL,2024-05-23,POSITIVO,2023-12-07,4ª CPPAD,FINALIZADO,DEMISSÃO,2024-12-16,DEMISSÃO,2025-07-31 08:30:14,2021,2023,2024
213,SEI-030022/013698/2021,2021-12-30,DEGASE,OFENSA FÍSICA,2024-05-23,POSITIVO,2022-03-02,3ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-05-07,ARQUIVAMENTO,2025-07-31 08:30:14,2021,2022,2024
214,SEI-030022/006426/2023,2023-06-09,DEGASE,MÁ CONDUTA,2024-04-24,POSITIVO,2024-05-07,4ª CPPAD,FINALIZADO,DEMISSÃO,2025-01-02,DEMISSÃO,2025-07-31 08:30:14,2023,2024,2025
215,,,,,,,,,,SUSPENSÃO,2025-01-17,SUSPENSÃO,2025-07-31 08:30:14,,,2025
216,,,,,,,,,,SUSPENSÃO,,SUSPENSÃO,2025-07-31 08:30:14,,,
217,,,,,,,,,,SUSPENSÃO,,SUSPENSÃO,2025-07-31 08:30:14,,,
218,SEI-210001/026644/2024,2024-04-01,SEAP,ACUMULAÇÃO ILÍCITA DE CARGOS,,EM ESPERA,,,,,,,2025-07-31 08:30:14,2024,,
219,SEI-330018/000469/2023,2023-12-20,SEIOP,NULIDADE CONTRATUAL,2024-04-25,EM ESPERA,,,,,,,2025-07-31 08:30:14,2023,,
220,SEI-030040/001548/2023,2023-05-05,SEEDUC,FRAUDES DOCUMENTAIS,2024-04-25,EM ANDAMENTO,,,,,,,2025-07-31 08:30:14,2023,,
221,SEI-030038/004652/2021,2021-12-02,SEEDUC,ABANDONO DE CARGO,2024-05-23,POSITIVO,2024-03-06,2ª CPPAD,FINALIZADO,,2024-05-23,,2025-07-31 08:30:14,2021,2024,2024
222,SEI-080002/000625/2021,2021-05-10,SES,DANO AO ERÁRIO PÚBLICO,2024-04-25,EM ANDAMENTO,2025-02-25,4ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2021,2025,
223,SEI-150016/058427/2024,2024-04-24,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,2024-04-25,POSITIVO,2024-10-18,2ª CPPAD,INSTRUÇÃO,,,,2025-07-31 08:30:14,2024,2024,
224,SEI-080015/001111/2023,2023-09-22,SES,ABANDONO DE CARGO,2024-04-26,EM ANDAMENTO,,,,,,,2025-07-31 08:30:14,2023,,
225,SEI-320001/003758/2020,2020-12-08,SES,INOBSERVÂNCIA DE NORMAS LEGAIS,2020-11-05,POSITIVO,2020-12-17,2ª CPPAD,REEXAME,,,,2025-07-31 08:30:14,2020,2020,
226,SEI-030001/007850/2024,2024-02-15,SEEDUC,ABANDONO DE CARGO,2024-04-26,NEGATIVO,,,,,,,2025-07-31 08:30:14,2024,,
227,E-03/006/21/2017,2017-01-02,SEEDUC,FALTAS INTERPOLADAS,,POSITIVO,2021-05-27,3ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-05-07,ARQUIVAMENTO,2025-07-31 08:30:14,2017,2021,2024
228,E-08/015/2094/2019,2019-07-29,SES,ABANDONO DE CARGO,,POSITIVO,2021-06-23,1ª CPPAD,FINALIZADO,,,DEMISSÃO,2025-07-31 08:30:14,2019,2021,
229,E-03/033/2121/2019,2019-12-20,SEEDUC,ABANDONO DE CARGO,,POSITIVO,2022-09-14,3ª CPPAD,FINALIZADO,DEMISSÃO,2024-04-30,DEMISSÃO,2025-07-31 08:30:14,2019,2022,2024
230,SEI-150027/000693/2021,2021-06-22,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,2024-04-30,POSITIVO,,,,,,,2025-07-31 08:30:14,2021,,
231,SEI-030029/006241/2021,2021-07-05,SEEDUC,ASSÉDIO SEXUAL,,POSITIVO,2021-09-09,3ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-03-15,ARQUIVAMENTO,2025-07-31 08:30:14,2021,2021,2024
232,SEI-160070/001742/2020,2020-12-07,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2023-06-21,4ª CPPAD,FINALIZADO,SUSPENSÃO,2024-10-10,SUSPENSÃO,2025-07-31 08:30:14,2020,2023,2024
233,SEI-030022/007023/2021,2021-08-03,DEGASE,FALTAS INJUSTIFICADAS,,POSITIVO,2022-09-14,4ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-05-29,ARQUIVAMENTO,2025-07-31 08:30:14,2021,2022,2024
234,SEI-150071/000215/2022,2022-08-31,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,2024-05-08,EM ANDAMENTO,,,,,,,2025-07-31 08:30:14,2022,,
235,E-03/008/4700/2016,2016-12-12,SEEDUC,FRAUDES DOCUMENTAIS,,POSITIVO,2021-08-13,2ª CPPAD,REEXAME,,,,2025-07-31 08:30:14,2016,2021,
236,SEI-150065/016688/2021,2021-09-01,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,,POSITIVO,2023-08-31,4ª CPPAD,FINALIZADO,SUSPENSÃO,2024-06-19,SUSPENSÃO,2025-07-31 08:30:14,2021,2023,2024
237,E-26/005/379/2019,2019-01-17,FAETEC,FALTAS INTERPOLADAS,,POSITIVO,2021-06-07,3ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-06-19,ARQUIVAMENTO,2025-07-31 08:30:14,2019,2021,2024
238,SEI-270001/000434/2024,2024-02-15,SEDEC,MÁ CONDUTA,2024-05-09,POSITIVO,2024-09-30,4ª CPPAD,SOBRESTADO,,,,2025-07-31 08:30:14,2024,2024,
239,SEI-030043/001980/2022,2022-05-02,SEEDUC,ASSÉDIO SEXUAL,2024-05-13,NEGATIVO,,,,,,,2025-07-31 08:30:14,2022,,
240,E-03/005/3455/2019,2019-06-05,SEEDUC,NÃO PRESTAÇÃO DE CONTAS,,POSITIVO,2021-07-20,2ª CPPAD,FINALIZADO,,,CASSAÇÃO DE APOSENTADORIA,2025-07-31 08:30:14,2019,2021,
241,SEI-030042/002305/2021,2021-09-28,SEEDUC,ABANDONO DE CARGO,2024-05-13,POSITIVO,2024-05-21,3ª CPPAD,RELATÓRIO FINAL,,,,2025-07-31 08:30:14,2021,2024,
242,E-03/012/2799/2017,2017-09-18,SEEDUC,FALTAS INTERPOLADAS,,POSITIVO,2022-06-03,2ª CPPAD,FINALIZADO,ARQUIVAMENTO,2024-05-29,ARQUIVAMENTO,2025-07-31 08:30:14,2017,2022,2024
243,E-03/8613977/2012,2012-11-26,SEEDUC,ABANDONO DE CARGO,2024-05-14,EM ANDAMENTO,,,,,,,2025-07-31 08:30:14,2012,,
244,E-03/005/2477/2018,2018-03-27,SEEDUC,NÃO PRESTAÇÃO DE CONTAS,,POSITIVO,2022-05-31,3ª CPPAD,FINALIZADO,CASSAÇÃO DE APOSENTADORIA,2024-12-02,ARQUIVAMENTO,2025-07-31 08:30:14,2018,2022,2024
245,SEI-260005/008114/2023,2023-09-28,FAETEC,ACUMULAÇÃO ILÍCITA DE CARGOS,2024-05-16,EM ANDAMENTO,,,,,,,2025-07-31 08:30:14,2023,,
246,SEI-120001/000505/2024,2024-01-18,SEPLAG,MÁ CONDUTA,2024-05-16,EM ANDAMENTO,,,,,,,2025-07-31 08:30:14,2024,,
247,SEI-150071/000240/2022,2022-09-26,DETRAN-RJ,FRAUDES EM LICENCIAMENTOS DE VEÍCULOS,2024-05-20,EM ANDAMENTO,,,,,,,2025-07-31 08:30:14,2022,,
